GEOID,NAME,medhhincome,year,share_bac,share_black,share_poverty,share_immigration,share_mexico,share_mexico_recent,medage,medincome_foreign,medincome,gini,high_rent,agghhincome,percapitaincome,median_rent,pop,popwhite,pop_above18,immigration
1001,"Autauga County, Alabama",53255,2010,0.2174772754102231,0.17887310695136863,0.09223900925669028,0.01984761546420845,0.0043834070172138,0.00346157464020317,36.2,26973,27176,0.405,742,1276408100,24568,534,33884,42031,38430,1055
1003,"Baldwin County, Alabama",50147,2010,0.268221454425798,0.0945042692743087,0.10311875975747012,0.03649219812163307,0.01056368073450859,0.00539276754782668,41,16800,24896,0.439,887,4589163800,26469,655,121560,151453,134817,6415
1005,"Barbour County, Alabama",33219,2010,0.13512368239843212,0.466117910393877,0.2232632777720261,0.02808765659410087,0.02126430557059821,0.01566843568359868,38,16118,14962,0.464,449,408552600,15875,335,18879,13759,21469,778
1007,"Bibb County, Alabama",41770,2010,0.10025195597400877,0.1525873507297656,0.11242703188145488,0.00676691729323308,0.00380362671384343,0.00154798761609907,38.3,54375,21435,0.411,399,389107500,19918,324,15082,19038,17312,153
1009,"Blount County, Alabama",45549,2010,0.12527241696205854,0.01262964792210541,0.11699462512526192,0.04718478797713963,0.04012911874691315,0.01993226557538982,38.3,19018,22352,0.422,451,1143080300,21070,373,38085,53938,42644,2675
1011,"Bullock County, Alabama",31602,2010,0.12012053143405012,0.7424700173944887,0.19888980748789417,0.01135219262107479,0.00256339833379108,0.00100704934541792,38.7,56276,17013,0.533,333,183712300,20289,226,7301,2589,8427,124
1013,"Butler County, Alabama",30659,2010,0.10990811311346962,0.4292414453218473,0.23130812151270924,0.01072026800670016,0,0,39.7,28917,17684,0.463,349,330104000,16916,288,14039,11493,15808,224
1015,"Calhoun County, Alabama",38407,2010,0.16120274825660688,0.20425270382162888,0.17384970256161222,0.02533525680970388,0.01121648498920178,0.007776421480337,38.1,20274,19564,0.453,519,2336674800,20574,394,77722,88451,90174,2968
1017,"Chambers County, Alabama",31467,2010,0.10839617474828328,0.3911911854015443,0.17478635600029216,0.00870470516787645,0.00271841290956939,0.0025448971919373,40.1,18984,16833,0.425,439,552615500,16626,329,23737,20425,26469,301
1019,"Cherokee County, Alabama",40690,2010,0.10520642449067588,0.0467704280155642,0.15173290316273158,0.00494163424124513,0,0,43.9,48882,20684,0.439,414,558532700,21322,279,18554,23842,20363,127
1021,"Chilton County, Alabama",39486,2010,0.12183932198641172,0.09396813617494956,0.15797532198504907,0.03960947102339927,0.03471626353748754,0.02163678949931587,37.2,21027,21539,0.451,501,866182000,20517,372,28554,37736,32208,1708
1023,"Choctaw County, Alabama",31076,2010,0.10895537628918615,0.429735667209978,0.17482708409173645,0.00333073488767628,0,0,43.2,15240,15810,0.457,427,225972400,17214,331,9793,7823,10850,47
1025,"Clarke County, Alabama",27439,2010,0.13450917512916444,0.4185869358217482,0.2690433571996818,0.0023995429442011,0,0,38.9,20139,15969,0.523,348,417438300,17372,266,16839,14451,19508,63
1027,"Clay County, Alabama",35595,2010,0.09503459503459503,0.15384615384615383,0.17913634158175645,0.02037037037037037,0.01139601139601139,0.01125356125356125,41.3,16392,20540,0.421,337,259219900,18332,268,9828,11562,10915,286
1029,"Cleburne County, Alabama",36077,2010,0.08390918065153011,0.04088241246711192,0.15656565656565655,0.01187343992444174,0.01005194629966943,0,40.1,14038,16349,0.424,429,250101500,17490,353,10130,13983,11268,176
1031,"Coffee County, Alabama",42253,2010,0.22056374514278665,0.17326108089102152,0.14905819510823728,0.0457920536102091,0.0150778713106786,0.00833522927051231,37.9,22574,22811,0.452,581,1067515900,22797,389,32426,37460,36666,2214
1033,"Colbert County, Alabama",39610,2010,0.1640341178328858,0.16061785989788047,0.13282146117652566,0.01607096940087426,0.0042427359218308,0.00176321492855306,41.6,16604,20957,0.435,474,1118866400,21079,373,37986,44325,42307,875
1035,"Conecuh County, Alabama",26944,2010,0.09700571941235842,0.46248692273202807,0.2521951219512195,4.4836347332237334e-4,0,0,43.4,NA,15885,0.484,342,199286500,15755,248,8917,6972,10180,6
1037,"Coosa County, Alabama",35560,2010,0.10552087158770963,0.3377506538796861,0.1477909845256784,0.0058413251961639,5.231037489102005e-4,0,43.8,14333,18974,0.443,326,219871800,19209,256,8169,7517,9034,67
1039,"Covington County, Alabama",33852,2010,0.1307254841684599,0.1286162518613061,0.16681767844558543,0.01470431823016379,0.0059029993618379,0.00257923845990214,42.1,15958,18621,0.475,406,709795900,19822,290,26024,31901,29071,553
1041,"Crenshaw County, Alabama",35140,2010,0.10138248847926268,0.2082854681217691,0.15500369276218612,0.04142734060884549,0.00703618609994256,0.00481045376220562,39.5,17295,18097,0.466,369,269754000,19793,273,9548,10196,10607,577
1043,"Cullman County, Alabama",38567,2010,0.137905604719764,0.0091192254287537,0.1541052292321328,0.02618180908419959,0.01793822944421511,0.01029509263081522,39.5,16522,20588,0.445,500,1588179200,20284,381,54240,76819,61176,2093
1045,"Dale County, Alabama",43353,2010,0.17537875295780708,0.19883370199075004,0.14317205201183103,0.03555198069575709,0.00846571486024532,0.00546953549165493,35.8,17538,22389,0.424,611,1043308500,21722,422,32541,37298,37294,1768
1047,"Dallas County, Alabama",26029,2010,0.14269923337493315,0.6881042073253756,0.26303389113755815,0.00732991421957972,0.00188353832887033,2.950120274134253e-4,36.8,17069,16352,0.515,421,695094100,16646,299,28045,13226,32180,323
1049,"DeKalb County, Alabama",35065,2010,0.10921103769918385,0.01599131899825808,0.16958475508567805,0.07243210828407436,0.0521145663782518,0.023744253119735,37,18607,18834,0.454,410,1226588900,18152,324,46314,64779,51816,5073
1051,"Elmore County, Alabama",53128,2010,0.20230688975617295,0.20104314230521572,0.1085122487031328,0.02163554410817772,0.00956857694784288,0.00631036703155183,37.3,17362,24155,0.405,663,1759288000,22640,494,51758,59044,58885,1680
1053,"Escambia County, Alabama",31927,2010,0.10915968657119696,0.3141383303505632,0.1999480750686151,0.01126434361511738,0.00742183387725023,0.00631645436361722,38.3,4351,18348,0.464,429,595264500,16259,358,25907,24065,29081,428
1055,"Etowah County, Alabama",36422,2010,0.1580770530584657,0.1504622066765322,0.14698736041232052,0.02269713451079123,0.00560221397958987,0.00466050391097957,40,19546,20430,0.453,497,2080278400,20439,383,71016,85437,79856,2362
1057,"Fayette County, Alabama",34560,2010,0.09452077470617448,0.1118360805860806,0.17017734346724575,0.00526556776556776,1.7170329670329672e-4,0,42.4,6806,18304,0.418,346,300233100,17711,308,12082,15128,13524,92
1059,"Franklin County, Alabama",33942,2010,0.11755125502969918,0.04234776789981837,0.17304804804804805,0.07892808208265621,0.04151929388522448,0.02667049039288787,38.5,16767,18045,0.454,381,569347700,18094,311,20876,27392,23652,2477
1061,"Geneva County, Alabama",34140,2010,0.08011382291780672,0.1021438529068234,0.15519219736087206,0.01638973663388719,0.00934403375908971,0.00301420443841603,42.2,15669,16974,0.456,432,466431800,18351,321,18274,23154,20532,435
1063,"Greene County, Alabama",22222,2010,0.09937582128777923,0.8043219881145327,0.26448505454030313,0.00896812533765532,0.00799567801188546,0,41.9,18902,15594,0.484,393,129181000,14738,264,6088,1663,6909,83
1065,"Hale County, Alabama",29299,2010,0.09950720242608035,0.5919099455714992,0.2218380638417625,0.00909203364670955,0.00136071251855517,0,39.1,18554,16322,0.48,342,239605900,16523,265,10552,6457,11976,147
1067,"Henry County, Alabama",38379,2010,0.14997075779095995,0.29280382551901096,0.14181659261417437,0.02501749475157452,0.00898063914159085,0.00513179379519477,42.4,26008,19828,0.446,417,324044700,19716,336,11969,11673,13309,429
1069,"Houston County, Alabama",41022,2010,0.18967367482353653,0.25396600995667934,0.13956097625364644,0.02188247886982601,0.00637187086610992,0.00337274939664138,38,20439,21546,0.466,571,2149675400,22725,435,66161,69839,74441,2167
1071,"Jackson County, Alabama",36312,2010,0.11982052598859368,0.03345446371707938,0.15929847627544433,0.01476042408121979,0.00788596261192072,0.00357771700445809,41.4,17176,20170,0.438,403,966004400,18905,316,36997,49167,41131,788
1073,"Jefferson County, Alabama",45244,2010,0.28784738048828534,0.4176465036412792,0.1346910131740021,0.04069799303407458,0.01653798377864919,0.01071985288744915,37,20604,24572,0.492,711,16972667900,26529,545,436589,358121,501077,26735
1075,"Lamar County, Alabama",33887,2010,0.09248273850043762,0.12236315539578103,0.16750216076058771,0.00244183680390693,0.00135657600217052,0,42.2,35714,17112,0.495,301,283022300,19789,226,10283,12824,11379,36
1077,"Lauderdale County, Alabama",39345,2010,0.2148573641409578,0.10238442928445328,0.1598822680068862,0.01842810749547743,0.00442448944007323,0.00173274340140799,39.7,20785,20753,0.461,474,1998746500,22341,374,61976,80106,71799,1691
1079,"Lawrence County, Alabama",40516,2010,0.10686693426561354,0.11222433182415656,0.12524228418070674,0.01653278808237184,0.00514093763692127,0.00189864174090842,40.2,30395,20041,0.399,403,653231400,19370,320,23169,26727,26168,566
1081,"Lee County, Alabama",40894,2010,0.30944315053991106,0.22794607806829123,0.1930488744913989,0.04913710095548478,0.00796978001629509,0.00632545737352788,28.8,19105,20997,0.479,692,3001491400,22794,500,75568,98194,104406,6634
1083,"Limestone County, Alabama",46682,2010,0.20773507553492204,0.12775078230340653,0.12024472775745976,0.03531177652835372,0.02082326303202992,0.00891698679624494,38.5,18892,24595,0.435,504,1855750200,24007,412,53419,65164,59656,2776
1085,"Lowndes County, Alabama",29714,2010,0.12745869394177814,0.7302020288125479,0.23473093430174977,0.00298354786463217,0.00187537294348307,0.00187537294348307,39.7,6989,15569,0.506,432,183528300,16524,314,7626,3020,8738,35
1087,"Macon County, Alabama",27544,2010,0.20932878270762229,0.8312825475828379,0.2451314176766989,0.00460850730448407,4.6085073044840777e-4,4.6085073044840777e-4,35.8,6304,15277,0.483,433,332365500,16380,306,13185,3269,17008,100
1089,"Madison County, Alabama",55851,2010,0.3740897672160663,0.2354122817877925,0.1058268509346022,0.05506995171474557,0.01393462919400767,0.00960443233873963,37.1,22905,27434,0.454,680,9404149000,29918,518,212171,225860,245282,17792
1091,"Marengo County, Alabama",32940,2010,0.17861994994637112,0.5310386927122465,0.20631749797115925,0.00286438767843726,0.00122088655146506,0,40.1,43438,17407,0.484,407,380188600,18323,283,13985,9762,15806,61
1093,"Marion County, Alabama",32769,2010,0.08776266996291718,0.02896856326318524,0.15477770404777705,0.0145492335671603,0.00649519355676799,0.00159132242140815,42,21875,18498,0.449,336,575689200,19030,254,21843,28844,24125,448
1095,"Marshall County, Alabama",37661,2010,0.1453411202548447,0.01618849527331154,0.16873249551166966,0.07448248539073592,0.04443857506025289,0.02681941739025168,38,16238,20043,0.462,509,1755325000,19875,379,60272,85322,67933,6768
